cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before,cover_after
Hamish,s,2009.1808219178083,Reef 21-550,21550100104,2008,2010,0.4108120242324142,0.15382242938588303
Hamish,s,2009.1808219178083,Reef 21-558,21558100104,2008,2012,0.3438649294842713,0.2129227845461164
Edna,s,2014.0849315068492,Reef 21-558,21558100104,2014,2016,0.3655606487573702,0.3897085065859341
unknown,c,2022.0,Reef 21-558,21558100104,2018,2022,0.5567616569625632,0.4885073127293561
unknown,m,2010.0,Reef 21-591,21591100104,2008,2010,0.4050903624263184,0.23713931541680017
Ita,s,2014.0,Reef 21-591,21591100104,2012,2014,0.3243844351027426,0.21439926226908934
unknown,c,2010.0,Reef 22-084,22084100104,2008,2010,0.16747979632518592,0.08942513715015046
unknown,c,2020.0,Reef 22-084,22084100104,2018,2020,0.5215636431682587,0.447032471378247
unknown,c,2022.0,Reef 22-084,22084100104,2020,2022,0.447032471378247,0.12136848920372466
Yasi,s,2011.0876712328768,Rib Reef,18032100104,2010,2011,0.23282737940598844,0.11585852088973621
unknown,c,2017.0,Rib Reef,18032100104,2016,2017,0.5000227218491428,0.2809208745703753
unknown,c,2018.0,Rib Reef,18032100104,2017,2018,0.2809208745703753,0.14794063026807497
unknown,c,2019.0,Rib Reef,18032100104,2018,2020,0.14794063026807497,0.11451867355616456
Yasi,s,2011.0876712328768,Roxburgh Reef,18042100104,2010,2012,0.2670230794061059,0.08757672020420426
Hamish,s,2009.1808219178083,Slate Reef,19159100104,2007,2009,0.4143782361873632,0.17488592095313701
Ului,s,2010.213698630137,Slate Reef,19159100104,2009,2013,0.17488592095313701,0.10998520359373955
Debbie,s,2017.0,Slate Reef,19159100104,2017,2019,0.2254517949418332,0.2848090431734312
unknown,c,2020.0,Small Lagoon Reef,21572100104,2018,2020,0.39996308492614335,0.23161532363633544
unknown,c,2022.0,Small Lagoon Reef,21572100104,2020,2022,0.23161532363633544,0.10306595179169323
Hamish,s,2009.1808219178083,Snake Reef,22088101104,2009,2011,0.2286563310420321,0.14523182932041132
unknown,c,2021.0,Snake Reef,22088101104,2019,2021,0.2760244260897609,0.29453808823879996
unknown,c,2022.0,Snake Reef,22088101104,2021,2022,0.29453808823879996,0.24733693854114455
Yasi,s,2011.0876712328768,St. Crispin Reef,16019100104,2011,2012,0.16275099721516975,0.1469828962801646
unknown,c,2013.0,Startle Reef East,15028100104,2011,2013,0.1868234496029855,0.14227262151485573
unknown,c,2015.0,Startle Reef East,15028100104,2013,2015,0.14227262151485573,0.07212021204166044
unknown,c,2010.0,Swinger Reef,15030100104,2009,2010,0.28480221788574905,0.22164075330824026
unknown,m,2015.0,Swinger Reef,15030100104,2010,2015,0.22164075330824026,0.12056539767487613
Yasi,s,2011.0876712328768,Taylor Reef,17064100104,2010,2012,0.15986307218777396,0.12600149926704873
unknown,c,2017.0,Taylor Reef,17064100104,2016,2017,0.3933584029170042,0.2743450902341606
unknown,c,2018.0,Taylor Reef,17064100104,2017,2018,0.2743450902341606,0.1347013521273896
unknown,m,2010.0,Tern Island,20309100104,2008,2010,0.46635382921323565,0.2840905062922604
unknown,c,2012.0,Tern Island,20309100104,2010,2012,0.2840905062922604,0.1869612686310325
Yasi,s,2011.0876712328768,Thetford Reef,16068100104,2010,2012,0.20715679521395816,0.12573160928723925
Hamish,s,2009.1835616438357,Turner Cay,21562100104,2009,2011,0.20409769820543622,0.15345866981958028
unknown,c,2019.0,Turner Cay,21562100104,2017,2019,0.5323155335131405,0.09328532275333526
unknown,c,2018.0,Wade Reef,21588100104,2016,2018,0.4474137677226432,0.1133972560856435
unknown,c,2020.0,Wade Reef,21588100104,2018,2020,0.1133972560856435,0.08386790804796725
unknown,s,2008.0,Wreck Island,23051100104,2007,2009,0.2825009303053723,0.23873999054454975
Hamish,s,2009.1835616438357,Wreck Island,23051100104,2009,2011,0.23873999054454975,0.17530914848558515
Ita,s,2014.2739726027398,Yonge Reef,14138100104,2013,2015,0.16861385195623863,0.14550600606925013
unknown,m,2016.0849315068492,Yonge Reef,14138100104,2015,2017,0.14550600606925013,0.11681799188727428
Yasi,s,2011.0876712328768,Opal Reef,16025100104,2011,2013,0.21288017536616813,0.1825053838832091
unknown,m,2017.0849315068492,Low Isles,16028100104,2017,2019,0.46329092154361645,0.27289103835726614
unknown,m,2015.0,Green Island,16049100104,2013,2015,0.08072837216759786,0.08026907919849818
Yasi,s,2011.0876712328768,McCulloch Reef,17016101104,2010,2012,0.09524605873254562,0.07606907017419713
Yasi,s,2011.0876712328768,Feather Reef,17034100104,2009,2012,0.129110324309799,0.12275293973961965
Yasi,s,2011.0876712328768,Kelso Reef,18030100104,2010,2014,0.13258070375593714,0.13250082950484407
Yasi,s,2011.0876712328768,Fore and Aft Reef,18043100104,2008,2012,0.061118724409604294,0.06072884434911593
