# Raw per-reef, per-year manta tow cover, cached from ReefMonitoring.get_manta_tow -
# read by 03_a_create_cover_manta_csv.jl and base/generate_clean_growth_intervals.jl
# instead of each hitting the API independently. Delete this file and re-run to force
# a fresh pull (e.g. after a new manta tow survey has landed).
# Generated: 2026-07-30T14:42:55.845
reef_name,report_year,mean
Chicken Reef,1989,0.2412224648717161
Chicken Reef,1986,0.32077246034823265
Chinaman Reef (22-102),2026,0.20073756052430689
Chinaman Reef (22-102),2025,0.18879740249431165
Chinaman Reef (22-102),2024,0.18041111910726793
Chinaman Reef (22-102),2023,0.17438004948694655
Chinaman Reef (22-102),2022,0.22104222559584372
Chinaman Reef (22-102),2021,0.14924870269117185
Chinaman Reef (22-102),2020,0.10399345032025027
Chinaman Reef (22-102),2019,0.10389129134645504
Chinaman Reef (22-102),2018,0.20211687607681808
Chinaman Reef (22-102),2017,0.470790722776956
Chinaman Reef (22-102),2016,0.38677421887380636
Chinaman Reef (22-102),2015,0.44391900842096227
Chinaman Reef (22-102),2014,0.35870592841323945
Chinaman Reef (22-102),2013,0.24858118736043436
Chinaman Reef (22-102),2012,0.24350881585429993
Chinaman Reef (22-102),2011,0.2225895960578149
Chinaman Reef (22-102),2010,0.18205503451228588
Chinaman Reef (22-102),2009,0.18872331630526412
Chinaman Reef (22-102),2008,0.1935982740878966
Chinaman Reef (22-102),2006,0.161400633808658
Chinaman Reef (22-102),2005,0.1729115222721111
Chinaman Reef (22-102),2004,0.15380561186555913
Chinaman Reef (22-102),2003,0.14401961215387066
Chinaman Reef (22-102),2002,0.17700660784423683
Chinaman Reef (22-102),2001,0.17862338305459494
Chinaman Reef (22-102),2000,0.2839170622338014
Chinaman Reef (22-102),1999,0.3414265369037594
Chinaman Reef (22-102),1998,0.37557434216367414
Chinaman Reef (22-102),1997,0.2667555432407723
Chinaman Reef (22-102),1996,0.288043268226093
Chinaman Reef (22-102),1995,0.2817802363280315
Chinaman Reef (22-102),1994,0.23073939664453133
Chinaman Reef (22-102),1993,0.22682012482222177
Chinaman Reef (22-102),1990,0.21187099272619342
Chinaman Reef (22-102),1988,0.3803865149432715
Chinaman Reef (22-102),1987,0.352041384084107
Chinaman Reef (22-102),1986,0.23816629576792878
Creal Reef,1986,0.4281802021926039
Creal Reef,1988,0.47695740466341197
Creal Reef,1989,0.4662200847276431
Creal Reef,1990,0.5387758389479665
Creal Reef,1994,0.7410236953455727
Creal Reef,1997,0.5387932952691419
Creal Reef,2000,0.5189436094320335
Creal Reef,2003,0.5547836368947884
Creal Reef,2007,0.6962987910361156
Creal Reef,2009,0.13576564298005972
Creal Reef,2013,0.09196415262431265
Creal Reef,2017,0.17086265892523117
Creal Reef,2019,0.25193407550352787
Creal Reef,2021,0.47099886598048385
Creal Reef,2024,0.691476704672842
Creal Reef,2025,0.5935704529072893
Creal Reef,2026,0.6242098095897977
Credlin Reef East,1986,0.3504284980882954
Credlin Reef East,1987,0.1888942021845111
Credlin Reef East,1988,0.3668800895105394
Credlin Reef East,1989,0.2947736378649762
Credlin Reef East,1990,0.3730517698325704
Credlin Reef East,1993,0.5481963171370399
Credlin Reef East,1994,0.4589194035165218
Credlin Reef East,1995,0.4868927085855551
Credlin Reef East,1996,0.5100192212326913
Credlin Reef East,1998,0.3174625163888233
Credlin Reef East,1999,0.2206132279752664
Credlin Reef East,2000,0.242248440294093
Credlin Reef East,2001,0.19496162380676507
Credlin Reef East,2002,0.30276277720393413
Credlin Reef East,2003,0.1530001055881961
Credlin Reef East,2004,0.1170483785803582
Credlin Reef East,2005,0.12063187762807147
Credlin Reef East,2006,0.07422426171020607
Credlin Reef East,2007,0.07291925059633009
Credlin Reef East,2011,0.07866004441925482
Credlin Reef East,2013,0.09881195076503574
Credlin Reef East,2015,0.1741524332919233
Credlin Reef East,2016,0.22788761419184644
Credlin Reef East,2017,0.27833157891883215
Credlin Reef East,2019,0.12967007925013244
Credlin Reef East,2021,0.14233414275299477
Credlin Reef East,2023,0.12813544236910943
Credlin Reef East,2024,0.3491005732923494
Credlin Reef East,2025,0.38773197624808187
Credlin Reef East,2026,0.3656849934527804
Davies Reef,1986,0.1798631758090811
Davies Reef,1987,0.2889408056808864
Davies Reef,1988,0.2769952951734574
Davies Reef,1989,0.22477943755205337
Davies Reef,1990,0.17648982894258405
Davies Reef,1991,0.16094818093437646
Davies Reef,1992,0.16506491771556156
Davies Reef,1993,0.2070744836026168
Davies Reef,1994,0.23634617806743308
Davies Reef,1995,0.2903488133403961
Davies Reef,1996,0.29395359091788026
Davies Reef,1997,0.24245304821462024
Davies Reef,1998,0.3267390599645708
Davies Reef,1999,0.2999756268255353
Davies Reef,2000,0.27994017835772106
Davies Reef,2001,0.16972793069507527
Davies Reef,2002,0.23460550843907585
Davies Reef,2003,0.2447798918091987
Davies Reef,2004,0.24154208944587388
Davies Reef,2005,0.24588736084760643
Davies Reef,2007,0.1979195239232196
Davies Reef,2009,0.203275098940432
Davies Reef,2011,0.13116090290850624
Davies Reef,2013,0.11179644759265028
Davies Reef,2015,0.20803620022267816
Davies Reef,2017,0.2613165679834852
Davies Reef,2019,0.32075959067313403
Davies Reef,2021,0.42014173580113245
Davies Reef,2022,0.5290532777975279
Davies Reef,2023,0.49064801534938296
Davies Reef,2024,0.5013270529043707
Davies Reef,2025,0.5046636403316819
Davies Reef,2026,0.4260322085221492
Dip Reef,1986,0.3409680315331342
Dip Reef,1988,0.11850187227258942
Dip Reef,1990,0.1289378386248252
Dip Reef,1993,0.15451536786974981
Dip Reef,1995,0.17245513402278115
Dip Reef,1996,0.15995830528607252
Dip Reef,1997,0.1508643827348332
Dip Reef,1998,0.19764873436631697
Dip Reef,1999,0.1558307447735292
Dip Reef,2000,0.22362000130947374
Dip Reef,2001,0.19262871501720746
Dip Reef,2002,0.17926333055562363
Dip Reef,2003,0.19939033925285463
Dip Reef,2004,0.18723647410416666
Dip Reef,2005,0.2546984442870833
Dip Reef,2007,0.17883852638358097
Dip Reef,2011,0.1015857898369443
Dip Reef,2015,0.1415250582797901
Dip Reef,2017,0.15219101071750882
Dip Reef,2019,0.16153375603121436
Dip Reef,2021,0.19346364669271024
Dip Reef,2022,0.23734525079404845
Dip Reef,2023,0.33019652213910566
Dip Reef,2025,0.36023176894126824
Dip Reef,2026,0.35504492066808135
East Cay,2026,0.273547555678574
East Cay,2025,0.22589618106946147
East Cay,2023,0.31309436492959936
East Cay,2022,0.46668849846717586
East Cay,2021,0.4500292326086657
East Cay,2018,0.28787977405002574
East Cay,2017,0.32236663530293125
East Cay,2016,0.3053242778988285
East Cay,2015,0.24542680356340096
East Cay,2014,0.29181370539608237
East Cay,2013,0.26489022154527964
East Cay,2012,0.2284088477452971
East Cay,2011,0.20340423209754788
East Cay,2010,0.2912884922869899
East Cay,2009,0.2868596341407312
East Cay,2008,0.29247609756131954
East Cay,2007,0.31215403943560566
East Cay,2006,0.36348851980182617
East Cay,2005,0.26905835293820646
East Cay,2004,0.26466116948358054
East Cay,2003,0.257634001497193
East Cay,2002,0.25405690645827395
East Cay,2001,0.26096955843227
East Cay,2000,0.30302573741814176
East Cay,1999,0.2539607986605534
East Cay,1998,0.23131040399954825
East Cay,1997,0.20334816650110282
East Cay,1996,0.20215318967849993
East Cay,1995,0.23966681084360827
East Cay,1994,0.23829420609578222
East Cay,1992,0.3914385661096371
Erskine Island,2006,0.28680322890743604
Erskine Island,2008,0.19329124099464146
Erskine Island,2010,0.1387938902082039
Erskine Island,2012,0.2429350258204178
Erskine Island,2014,0.23720761881938032
Erskine Island,2016,0.2409683294399881
Erskine Island,2018,0.31624814688847025
Erskine Island,2020,0.41891770670918616
Erskine Island,2021,0.3652041664907682
Erskine Island,2022,0.38618781451875744
Erskine Island,2023,0.469154149964917
Erskine Island,2024,0.4084517150032933
Erskine Island,2025,0.3812714850801322
Erskine Island,2026,0.26914870917548606
Fairfax Island,1991,0.3451734544076061
Fairfax Island,2006,0.5573461385703403
Fairfax Island,2008,0.4408196910681106
Fairfax Island,2010,0.15338986757624687
Fairfax Island,2012,0.14151410365489367
Fairfax Island,2014,0.14871863989834783
Fairfax Island,2016,0.19951160941159665
Fairfax Island,2018,0.25035254918685035
Fairfax Island,2020,0.4010933421921188
Fairfax Island,2021,0.5192520424180526
Fairfax Island,2022,0.5916788683510571
Fairfax Island,2023,0.5273615161561296
Fairfax Island,2024,0.6531269065237959
Fairfax Island,2025,0.4063945481203736
Fairfax Island,2026,0.2125366968687083
Farquharson Reef,2006,0.05697473538422342
Farquharson Reef,2008,0.06873650731002012
Farquharson Reef,2010,0.07739029586105195
Farquharson Reef,2012,0.06235557512516856
Farquharson Reef,2016,0.14328335402726364
Farquharson Reef,2018,0.09676481084317771
Farquharson Reef,2020,0.07837661974296031
Farquharson Reef,2023,0.11020549783434863
Farquharson Reef,2024,0.0784084472504413
Farquharson Reef,2025,0.08521616592431501
Farquharson Reef,2026,0.09199104626122628
Fitzroy Island,2026,0.3496208598448532
Fitzroy Island,2025,0.2732728864166605
Fitzroy Island,2023,0.29213584562546246
Fitzroy Island,2022,0.3430606251109629
Fitzroy Island,2021,0.2874640305252341
Fitzroy Island,2017,0.2115554901047081
Fitzroy Island,2012,0.22350372312302003
Fitzroy Island,2010,0.2936325593781349
Fitzroy Island,2009,0.3010148989768942
Fitzroy Island,2008,0.1978392300052046
Fitzroy Island,2007,0.1805061498284215
Fitzroy Island,2006,0.14375450447166413
Fitzroy Island,2005,0.1418553323663294
Fitzroy Island,2002,0.07833777044400786
Fitzroy Island,1999,0.09796170462116269
Fitzroy Island,1998,0.23857839489061727
Fitzroy Island,1996,0.10842808308836904
Fitzroy Island,1995,0.08438938904517138
Fitzroy Island,1994,0.07601005814153405
Fitzroy Island,1992,0.08391634210197545
Fitzroy Island,1991,0.04988209542538252
Fitzroy Island,1990,0.13491617425030153
Fitzroy Island,1989,0.22958632652032945
Fitzroy Island,1988,0.21588382051551858
Fitzroy Island,1987,0.1982268548324623
Fitzroy Island,1986,0.1883910089102628
Fork Reef,1987,0.10133220785936971
Fork Reef,1988,0.12755343062295427
Fork Reef,1990,0.11686893720648717
Fork Reef,2008,0.1900803886823202
Fork Reef,2010,0.17925103068600462
Fork Reef,2012,0.07726256434428068
Fork Reef,2014,0.11715462007258068
Fork Reef,2016,0.2070190525662133
Fork Reef,2018,0.2095860538515173
Fork Reef,2020,0.346454732524612
Fork Reef,2025,0.4090245759650253
Forrester Reef,1986,0.14819996639748784
Forrester Reef,1987,0.1622002736522297
Forrester Reef,1988,0.20218826622896166
Forrester Reef,1990,0.20854986180042276
Forrester Reef,1994,0.29264612329578643
Forrester Reef,1997,0.1054709231678382
Forrester Reef,2000,0.11795617121463138
Forrester Reef,2003,0.14756721444329812
Forrester Reef,2006,0.18481972959749257
Forrester Reef,2009,0.21398494055679265
Forrester Reef,2013,0.16954296757783568
Forrester Reef,2015,0.07859872730616282
Forrester Reef,2021,0.2588667420462756
Forrester Reef,2023,0.4017933549824488
Forrester Reef,2025,0.12800088936293422
Forrester Reef,2026,0.1436982269611708
Gannet Cay,1986,0.699591435281039
Gannet Cay,1987,0.6628107684581434
Gannet Cay,1988,0.7557332243228332
Gannet Cay,1990,0.6733280395931823
Gannet Cay,1991,0.613860107488418
Gannet Cay,1992,0.7364356573588554
Gannet Cay,1993,0.5539468510283098
Gannet Cay,1994,0.32231424177215773
Gannet Cay,1995,0.2617838678670459
Gannet Cay,1996,0.42413417207898235
Gannet Cay,1997,0.3255669631532437
Gannet Cay,1998,0.22049141355608357
Gannet Cay,1999,0.16138956914683517
Gannet Cay,2000,0.2005009145190783
Gannet Cay,2001,0.13920908836287244
Gannet Cay,2002,0.09300636832677169
Gannet Cay,2003,0.08446030650134434
Gannet Cay,2004,0.08324219177820927
Gannet Cay,2005,0.08885326311802266
Gannet Cay,2006,0.09189955204363272
Gannet Cay,2007,0.10803807284090435
Gannet Cay,2008,0.13104038634443801
Gannet Cay,2009,0.12730687389190784
Gannet Cay,2010,0.09606938687974569
Gannet Cay,2011,0.09073939162852115
Gannet Cay,2012,0.1020256738882035
Gannet Cay,2013,0.11629743551086114
Gannet Cay,2015,0.16555267646116806
Gannet Cay,2017,0.46803397456043583
Gannet Cay,2019,0.32249925452240485
Gannet Cay,2021,0.21805825013949826
Gannet Cay,2022,0.10910760189947295
Gannet Cay,2023,0.08467584616772232
