reef_name,reef_id,dist_year,survival_rate_Tabular_Acropora,survival_rate_Corymbose_Acropora,survival_rate_Corymbose_non_Acropora,survival_rate_Small_Massives,survival_rate_Large_Massives
Gannet Cay,21556100104,2010,0.2987870961124838,0.38778413065192374,0.2972179883010562,1.0,1.0
Gannet Cay,21556100104,2019,0.4868186653594791,0.5268685175702545,0.5512167719238146,0.6358238885568879,0.9756257950102629
Gannet Cay,21556100104,2021,0.07443517893143421,0.1379507295674488,0.05,0.6736633668013988,1.0
Green Island,16049100104,2013,0.05,0.07666561469784457,1.0,0.6504671214406446,1.0
Grub Reef (18-077),18077100104,2012,0.1111152040694582,0.3667162585647437,0.12051283999289784,0.3579382689747188,0.49087582375796185
Harrier Reef,15025100104,2017,0.19381365246760598,0.2656629553933066,0.32271340537090615,0.3782016362247839,0.34755410177014906
Hedley Reef,17014100104,2012,0.33147602074224186,0.4308673882008083,0.9918757899817308,1.0,0.9186238090914775
Helix Reef,18076100104,2008,0.2569033404626674,0.26138901817827853,0.5534162131524089,0.9708658680701624,0.641960690634239
Helix Reef,18076100104,2012,0.06393849102747365,0.23015631922499105,0.29673063694334895,0.5240534416656043,0.6961611435256361
Helsdon Reef,14135100104,2011,1.0,0.648998030527447,0.6162481750646184,0.5630805776242293,0.8998027318079601
Helsdon Reef,14135100104,2013,1.0,0.7711534327605156,0.7322393493972027,0.6690644654234195,1.0
Helsdon Reef,14135100104,2015,0.7697915969467156,0.2596919769803059,0.24658735368268322,0.22531271517666726,0.3600497063536264
Horseshoe Reef,22104101104,2019,0.05,0.0671034885704746,0.3296496588525142,0.43156511114439716,1.0
Hoskyn Island,23080100104,2008,0.6970730031475992,0.7698590583031028,1.0,1.0,1.0
Hoskyn Island,23080100104,2010,0.18920409402165797,0.3543262971266139,0.7216179194509252,1.0,1.0
Hyde Reef,19207100104,2009,0.05,0.16993291265315502,0.3722380874223277,0.31065532695292813,0.3703370043182876
Hyde Reef,19207100104,2011,0.7790774667920427,1.0,0.08212418030956409,0.7398805155900289,0.4073285816526494
Jenkins Reef,21584100104,2010,0.3305028499765431,0.48773656020050155,0.6049588799324799,0.6853365893953923,1.0
Jenkins Reef,21584100104,2018,0.0598069942710496,0.06406487785405675,0.19244116883432594,0.05967904362056647,1.0
John Brewer Reef,18075100104,2020,0.18627974880314704,0.16665125427527264,0.6011638613396844,0.2621704243063505,0.5601099211818682
Knife Reef,18081100104,2012,0.05,0.2060180437539604,0.10994668960138805,0.42506333050747214,0.38701681467354804
Lady Musgrave Island,23082101104,2009,0.4412285429599147,0.49237605786675037,0.9505869583916986,1.0,1.0
Lady Musgrave Island,23082101104,2010,0.19371959950684667,0.48389067439868916,0.05,1.0,1.0
Linnet Reef,14126100104,2013,0.4147989213109378,0.439664739577912,0.6318603441523618,0.8101439668857777,0.691263105605985
Linnet Reef,14126100104,2017,0.05,0.05,0.057548330127581274,0.18924218039054364,0.7288732131696539
Little Kelso Reef,18031100104,2012,0.30109043697060905,0.6374340221342075,0.609574442483415,0.9272855567582426,1.0
Little Kelso Reef,18031100104,2018,0.3390170386660527,0.42138529639487415,0.5436176293169116,0.8404986771971079,0.758645572081642
Little Kelso Reef,18031100104,2020,0.2489127742698528,0.30938911971764355,0.39913442931274856,0.6171101556855847,0.5570120451096082
Lizard Isles,14116101104,2015,1.0,0.36545778033464993,0.34701598402596334,0.3170767373220873,0.5066886086516164
Lizard Isles,14116101104,2017,1.0,0.5026517791542564,0.47728687457656926,0.4361083406062129,0.6969011040966533
Macgillivray Reef,14114100104,2015,0.05,0.05,0.13061674233887283,0.20523943322171043,0.21637947834297422
Macgillivray Reef,14114100104,2017,0.7826179008236839,0.7826179008236839,0.275751422096124,0.6078786672020147,0.5848961351540135
Mackay Reef,16015100104,2015,0.05,0.7339555031768081,0.25082104543041434,0.3698620332600975,0.4863066838099364
Martin Reef,14123100104,2015,0.05,0.05,0.05,0.3327935958707551,1.0
Martin Reef,14123100104,2017,0.31965392301852824,0.31965392301852824,0.4798145428352053,0.4143462604003009,0.41575627095194345
Michaelmas Cay,16060100104,2013,0.14892266616264038,0.21232102913591447,0.39479448440099574,0.5590716513235677,0.7868394934227524
Michaelmas Cay,16060100104,2019,0.1196176604004523,0.13320892788941932,1.0,1.0,1.0
Moore Reef,16071100104,2012,0.17298464594282198,0.5537816322632637,0.9832158583876254,1.0,0.9944168439313608
Myrmidon Reef,18034100104,2011,0.08744834418116933,0.27760652676969305,0.0974885510882326,0.3967607043052224,0.40470714612607717
No Name Reef,14139100104,2015,0.4061179050257135,0.6626752396789668,0.8875048060420645,0.8293109533562111,0.5252600542777895
No Name Reef,14139100104,2017,0.2981100783710572,0.2853100374415145,0.5741662454353132,0.6716851864244461,0.5098052457585441
North Island,23045101104,2010,0.05,0.425391923673154,0.17163125044203373,1.0,1.0
North Direction Island,14143100104,2011,0.812568827832446,0.812568827832446,0.5294945542463892,0.6863044666877974,0.8005530284340221
North Direction Island,14143100104,2015,0.05,0.05,0.19290542326459745,0.18065674945944335,0.3768768394748104
North Direction Island,14143100104,2017,0.33358716105192304,0.33358716105192304,0.8209153585490159,0.5981995490212288,0.45735023080491277
One Tree Island,23055101104,2009,0.4610654116323114,0.4895596975161457,0.2062929784366361,1.0,1.0
One Tree Island,23055101104,2011,0.05,0.24787776124772762,0.05,1.0,1.0
