cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before_Tabular_Acropora,cover_after_Tabular_Acropora,cover_before_Corymbose_Acropora,cover_after_Corymbose_Acropora,cover_before_Corymbose_non_Acropora,cover_after_Corymbose_non_Acropora,cover_before_Small_Massives,cover_after_Small_Massives,cover_before_Large_Massives,cover_after_Large_Massives
Hamish,s,2009.1808219178083,Erskine Island,23068100104,2008,2010,0.096858317878579,0.10316345664587208,0.10733524662905192,0.12677045939948292,0.015114728528968651,0.005786554744926216,0.021720394832083163,0.03913717969914762,0.0,0.0
unknown,m,2020.0849315068492,Erskine Island,23068100104,2018,2020,0.10101467260011487,0.09865174945117709,0.13517596168731374,0.15527538598741786,0.00705205801709188,0.010207999332643911,0.020854304071235952,0.0247905677159907,0.0,0.0
unknown,m,2008.0,Fairfax Island,23081100104,2006,2008,0.3546681080394763,0.29449084307659423,0.3664438173111008,0.2996656745917088,0.004498312979949338,0.006177407394641435,0.01063094847264951,0.007244715147097109,0.0,0.0017299125946087974
Hamish,s,2009.1808219178083,Fairfax Island,23081100104,2008,2010,0.29449084307659423,0.07475951395007709,0.2996656745917088,0.08836063164995514,0.006177407394641435,0.00294144100965226,0.007244715147097109,0.009095797379199622,0.0017299125946087974,0.0023638162312986377
unknown,c,2012.0,Fairfax Island,23081100104,2010,2012,0.07475951395007709,0.045722252282775766,0.08836063164995514,0.05208554752347675,0.00294144100965226,0.0004685789919003873,0.009095797379199622,0.005258431791526107,0.0023638162312986377,0.0041992681482471645
unknown,c,2014.0,Fairfax Island,23081100104,2012,2014,0.045722252282775766,0.061879069996852554,0.05208554752347675,0.0651784103372606,0.0004685789919003873,0.0010712421529562263,0.005258431791526107,0.005637274214523878,0.0041992681482471645,0.004218850492099823
Yasi,s,2011.0,Farquharson Reef,17063101104,2010,2012,0.007562182831534425,0.005657832413469589,0.007562182831534425,0.005657832413469589,0.007679480501452571,0.007929638531694974,0.02320260751275973,0.029194149596524506,0.02189226374725972,0.01862443729572723
unknown,c,2018.0,Farquharson Reef,17063101104,2016,2018,0.0639424218729091,0.01341117834584771,0.0639424218729091,0.01341117834584771,0.0366144462694542,0.0023978675604957186,0.06276723358584353,0.02634193969486426,0.03245449946602742,0.01027563918470794
Tasha,s,2010.978082191781,Fitzroy Island,16054101104,2009,2011,0.031823740711189076,0.03513852649877715,0.04890576405521159,0.07781531061405991,0.004096850558119237,0.011278765575927963,0.02035278436825478,0.03138706946391223,0.05200770406796982,0.06405040137860914
unknown,c,2015.0,Fitzroy Island,16054101104,2013,2015,0.01025377559795505,0.012038461427866251,0.028927440348678203,0.026805450019044375,0.002306056076551448,0.0029107333764689146,0.020778772365651572,0.014382300615091364,0.04947425825662996,0.04666798807220723
